id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2014858,2022-12-28,"Kaslistic's ""Galaxy"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),500,0,13,female,Majestic Coon,10,29,-5,3,-1,-1,-7,-5,2,2,2,0,1,5,20,12,14,straight,12,14,grey-green,deep,normal,short (Munchkin),longhair,LaPerm,black,bicolor,,,False,False,False,True,False,0,0,True,94.99,99.99,87.99,98.00,99.93,50.00
2014862,2022-12-28,"Kaslistic's ""Daphne"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),500,0,13,female,Majestic Coon,10,29,-5,3,-1,-1,-7,-5,2,2,2,0,1,5,20,12,14,straight,12,14,aqua,deep,normal,short (Munchkin),longhair,LaPerm,chocolate,bicolor,,,False,False,False,True,False,0,0,True,94.99,97.99,87.99,98.00,99.93,50.00
2009962,2022-12-28,#2009962,Rescue Shelter,200,0,35,female,mixed breed,6,30,-1,-12,0,0,-7,-6,2,0,2,0,0,9,5,13,15,straight,12,13,yellow-green,deep,normal,normal,shorthair,rex II,blue,bicolor,mackerel tabby,,False,False,False,False,False,0,0,True,99.99,10.99,38.00,14.00,73.99,75.00
2004060,2022-12-28,#Halloweenie BOB 8.5,Rescue Shelter,200,0,61,female,mixed breed,7,30,-1,2,0,-7,-9,-6,3,0,2,0,0,9,19,13,9,curled,10,13,orange,medium,normal,normal,shorthair,,black,,ticked tabby,,False,False,False,True,False,0,0,True,99.99,9.50,9.00,26.00,31.96,10.00
2009836,2022-12-28,"# [5 PP, 7, 17] Tinytail",Bumblegun (#269722),0,0,35,female,mixed breed,8,30,2,-8,-2,0,-3,-10,2,0,2,1,0,12,9,11,15,straight,16,9,green,deep,short (bobtail),normal,shorthair,,chocolate,,classic tabby,,False,False,False,False,False,0,11,True,99.99,94.49,73.60,77.00,99.99,50.00
2006779,2022-12-28,Madame Tigresse,SnowyRina167 (#269419),1,0,49,female,mixed breed,8,30,2,-5,0,-3,-6,-7,3,2,2,0,0,12,12,13,12,straight,13,12,hazel,medium,normal,normal,longhair,LaPerm,chocolate,,mackerel tabby,,False,False,False,True,False,0,0,True,14.99,2.99,0.00,48.00,99.99,91.00
2014852,2022-12-28,#2014852,Pizza_Kitties - Sales (#88179),50,0,13,female,mixed breed,8,30,3,-3,-1,-5,-6,-7,3,0,2,0,0,13,14,12,11,curled,13,12,hazel,medium,normal,normal,shorthair,LaPerm,black,bicolor,classic tabby,,False,False,False,True,False,0,0,True,99.99,98.99,0.00,55.00,98.88,50.00
2007142,2022-12-28,#▧LillySpeckles,Tic-Tac to the rescue (#269418),300,0,48,female,mixed breed,8,30,3,-2,1,-5,-7,-8,2,0,2,0,0,13,15,14,10,straight,12,11,bronze,deep,normal,normal,shorthair,,black,bicolor,,,False,False,False,True,False,0,0,True,99.99,84.49,96.70,25.80,70.20,98.99
2016316,2022-12-28,"Kaslistics ""Delta"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),571,0,6,female,Majestic Coon,10,30,-5,3,-1,-2,-7,-5,2,2,2,0,1,5,20,12,14,folded,12,14,green,deep,normal,short (Munchkin),longhair,LaPerm wirehair,black,bicolor,,,False,False,False,False,True,0,0,,94.99,99.99,87.99,99.00,99.98,50.00
2016652,2022-12-28,﴾Chant﴿ Tinka,Chant’s ℂ✩ Neverending Studio Projects (#19181),1,0,47,female,mixed breed,6,31,-4,-11,-10,2,-2,0,0,0,2,0,0,6,6,3,17,straight,17,19,blue,deep,normal,normal,shorthair,,white,,,,False,False,False,False,False,0,0,True,99.99,99.99,68.00,83.00,35.96,49.00
2005851,2022-12-28,#Dane | !Luesa | Mixed Ramya,Llama Godd (#267840),200,0,53,female,mixed breed,7,31,0,-7,-1,-7,-5,-7,2,0,2,0,0,10,10,12,9,folded,14,12,hazel,deep,normal,normal,shorthair,wirehair,black,,mackerel tabby,,False,False,False,True,False,0,0,True,4.99,4.76,17.00,56.00,87.95,75.00
2005189,2022-12-28,#2005189,Pizza_Kitties - Sales (#88179),50,0,56,female,mixed breed,8,31,1,-3,0,-9,-6,-7,2,0,2,0,1,11,14,13,7,folded,13,12,hazel,deep,normal,short (Munchkin),shorthair,LaPerm,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,99.99,79.99,0.00,35.00,98.46,50.00
2015501,2022-12-28,#Alisia,Tic-TacCat (#268923),600,0,8,female,mixed breed,8,31,9,-7,-4,2,-3,-2,2,0,2,0,0,19,10,9,17,straight,16,17,grey-green,deep,normal,normal,shorthair,satin wirehair,black,bicolor,classic tabby,,False,False,False,True,False,0,0,,94.99,99.99,98.99,37.00,98.00,50.00
2012431,2022-12-28,#Hoot of An Owl,Kit_2_Electric_Boogaloo (#220467),10,0,23,female,mixed breed,10,31,6,-7,2,1,-2,-6,2,2,2,1,0,16,10,15,16,straight,17,13,hazel,deep,short (bobtail),normal,longhair,,blue,bicolor,,,False,False,False,False,False,0,0,True,99.99,88.49,0.00,51.00,99.91,50.00
2005879,2022-12-28,Mina's Truly Ages West,Chant’s ℂ✩ Neverending Studio Projects (#19181),50,0,53,female,mixed breed,10,31,3,-6,-3,-1,-8,-3,2,2,2,1,0,13,11,10,14,straight,11,16,hazel,deep,short (bobtail),normal,longhair,rex II satin,blue,,,,False,False,False,True,False,0,0,True,99.99,99.99,0.00,51.00,99.48,50.00
2014860,2022-12-28,"Kaslistic's ""Danee"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),500,0,13,female,Majestic Coon,11,31,-5,3,-1,-2,-7,-5,2,2,2,1,1,5,20,12,14,folded,12,14,green,deep,short (bobtail),short (Munchkin),longhair,,chocolate,bicolor,,,False,False,False,False,False,0,0,True,94.99,95.99,87.99,98.00,99.93,50.00
2015982,2022-12-28,# (b) Destiny's Illusion,Kittystix1 (#268795),0,0,7,female,Siamese,6,32,10,-8,7,5,1,1,0,0,0,0,0,20,9,20,20,straight,20,20,blue,deep,normal,normal,shorthair,satin,red,,,point,False,False,False,False,False,0,0,,99.99,99.99,99.99,93.40,99.99,50.00
2015985,2022-12-28,# (b) Legacy,Kittystix1 (#268795),0,0,7,female,Siamese,6,32,10,-8,7,5,1,1,0,0,0,0,0,20,9,20,20,straight,20,20,blue,deep,normal,normal,shorthair,satin,cream,,,point,False,False,False,False,False,0,0,,94.99,97.49,99.99,92.20,99.99,50.00
2005860,2022-12-28,Ali's Cinnamon,Kittystix1 (#268795),0,0,53,female,Siamese,6,32,10,-8,7,5,1,1,0,0,0,0,0,20,9,20,20,straight,20,20,blue,deep,normal,normal,shorthair,satin,red,,,point,False,False,False,False,False,0,21,True,99.99,99.99,96.99,94.60,99.99,56.00
2011838,2022-12-28,#2011838,.::Heatherboo::.  (#52324),1,0,30,female,mixed breed,6,32,2,2,-3,0,-6,-18,1,0,0,0,0,12,19,10,15,straight,13,1,blue,pale,normal,normal,shorthair,wirehair,natural,,mackerel tabby,mink,False,False,False,False,False,0,0,True,79.99,99.99,95.99,87.00,43.58,25.00
2007901,2022-12-28,#Little Miss Sunshine,Rescue Shelter,200,0,43,female,Siamese,6,32,10,-8,7,5,1,1,0,0,0,0,0,20,9,20,20,straight,20,20,blue,deep,normal,normal,shorthair,satin,lilac,,,point,False,False,False,False,False,0,0,True,99.99,12.99,21.99,71.00,99.98,88.00
2007847,2022-12-28,#2007847,Almalexia | Tigraunda Revival (#70878),100,0,43,female,mixed breed,8,32,7,2,1,-1,-8,-9,2,0,2,0,0,17,19,14,14,straight,11,10,grey-green,deep,normal,normal,shorthair,,black,,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,84.81,0.00,56.00,82.75,50.00
2017063,2022-12-28,#Sorceress Heavendream -stray,Mezzmeric's Feline Fiasco (#26989),1,0,20,female,mixed breed,6,33,-8,-13,-5,3,0,0,2,0,2,0,0,2,4,8,18,straight,19,19,green,deep,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,99.99,68.00,63.00,53.97,47.00
2006633,2022-12-28,#2006633 Sell?,CCeline's Mew (#171351),50,0,49,female,mixed breed,7,33,7,0,-1,1,-11,-8,3,0,2,0,0,17,17,12,16,straight,8,11,green,medium,normal,normal,shorthair,satin,lilac,bicolor,,,False,False,False,False,False,0,0,True,94.99,81.99,0.00,72.00,65.89,50.00
2007896,2022-12-28,#2007896,Rescue Shelter,200,0,43,female,mixed breed,7,33,-3,1,2,-9,-9,-8,1,0,0,0,0,7,18,15,6,straight,10,11,blue,pale,normal,normal,shorthair,,seal,,ticked tabby,point,False,True,True,False,False,0,0,True,99.99,4.00,9.00,15.00,92.99,90.00
2007643,2022-12-28,#Rhubarb,CinnamonFawnCats13  (#222218),1,0,45,female,mixed breed,8,33,1,0,-6,-7,-10,-3,2,2,2,0,0,11,17,7,9,curled,9,16,grey-green,deep,normal,normal,longhair,,chocolate,bicolor,ticked tabby,,False,False,False,False,False,0,0,True,99.99,80.38,0.00,30.00,85.87,50.00
2007849,2022-12-28,#2007849,Almalexia | Tigraunda Revival (#70878),100,0,43,female,mixed breed,8,33,6,2,1,-2,-8,-9,3,0,2,0,0,16,19,14,13,straight,11,10,hazel,pale,normal,normal,shorthair,,black,harlequin,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,81.81,0.00,56.00,83.75,50.00
2016324,2022-12-28,#2016324,Rescue Shelter,200,0,6,female,mixed breed,8,33,7,1,-1,-2,-9,-8,3,0,2,0,0,17,18,12,13,straight,10,11,hazel,medium,normal,normal,shorthair,satin,black,harlequin,,,False,True,False,False,False,0,0,,99.99,99.99,0.00,63.00,70.97,50.00
2006823,2022-12-28,Maxine,Rescue Shelter,200,0,49,female,mixed breed,9,33,-5,2,-1,-4,-8,-7,2,2,2,0,0,5,19,12,11,straight,11,12,coffee,deep,normal,normal,longhair,,black,bicolor,spotted tabby,,False,True,True,False,False,0,0,True,99.99,25.49,0.00,30.00,99.99,90.00
2007854,2022-12-28,#2007854,Almalexia | Tigraunda Revival (#70878),100,0,43,female,mixed breed,7,34,8,1,0,-5,-6,-9,3,0,2,0,0,18,18,13,10,straight,13,10,hazel,medium,normal,normal,shorthair,,blue,bicolor,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,86.37,1.50,53.00,85.75,50.00
2017071,2022-12-28,Skylark’s Color Me Irresistible,Skylark's (II) Sales and SAPs (#80199),1,0,54,female,mixed breed,8,34,1,-13,4,-4,-6,1,3,0,2,0,0,11,4,17,12,folded,13,20,coffee,pale,normal,normal,shorthair,,black,van,ticked tabby,,False,False,False,False,False,0,0,True,99.99,94.99,63.00,78.00,46.97,52.00
2003960,2022-12-28,#2003960 3ex,Ali's Cattery 2 Mixies and OriMajs (#267045),1,0,61,female,mixed breed,10,34,4,-9,4,-4,-3,-3,2,2,2,0,1,14,8,17,11,straight,16,16,aqua,deep,normal,short (Munchkin),longhair,LaPerm satin,lilac,,spotted tabby,,False,False,False,False,False,0,0,True,4.99,2.49,0.00,98.00,99.99,99.99
