id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2013281,2022-12-28,Celebration's Gerome,Cats' Celebration Rainbow Cattery (#51829),0,100,21,male,Rainbow Lynx,7,23.5,-5.0,-5.5,1.5,0.0,-5.0,-3.5,2,0,0,1,0,7.0,11.5,13.5,15.0,straight,14.0,14.5,bronze,deep,short (bobtail),normal,shorthair,,cream,,spotted tabby,,False,False,False,True,False,0,0,,99.99,99.99,91.60,2.60,96.74,50.00
2011841,2022-12-28,#Shade Star (Stray),FireFlower - Chatières and Rares (#136286),100,0,34,male,mixed breed,7,23.5,3.5,-2.5,-2.5,-2.5,-4.0,-6.5,2,0,0,0,0,15.5,14.5,9.5,12.5,straight,15.0,11.5,green,deep,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,False,False,False,False,0,0,,99.99,99.99,62.00,73.00,15.73,36.00
2008348,2022-12-28,#2008348,Morning Forest *Rare Breeds* (#34274),0,100,43,male,RagaMuffin,7,23.5,-5.0,-1.5,0.0,-2.5,-7.5,-2.0,3,2,0,0,0,7.0,15.5,12.0,12.5,straight,11.5,16.0,grey-green,pale,normal,normal,longhair,,blue,mitted,,,True,False,False,False,True,0,0,,94.99,94.99,91.99,4.00,99.96,50.00
2005689,2022-12-28,Celebration's Jonathan,Cats' Celebration Rainbow Cattery (#51829),0,100,55,male,Rainbow Lynx,7,23.5,-5.0,-5.5,1.5,0.0,-5.0,-3.5,2,0,0,1,0,7.0,11.5,13.5,15.0,straight,14.0,14.5,bronze,deep,short (bobtail),normal,shorthair,,cream,mitted,,,False,True,True,False,False,0,0,,99.99,97.99,93.39,15.00,81.72,50.00
2005684,2022-12-28,Celebration's Achim,Cats' Celebration Rainbow Cattery (#51829),0,100,55,male,Rainbow Lynx,7,23.5,-5.0,-5.5,1.5,0.0,-5.0,-3.5,2,0,0,1,0,7.0,11.5,13.5,15.0,straight,14.0,14.5,bronze,deep,short (bobtail),normal,shorthair,,lilac,bicolor,classic tabby,,False,False,False,True,False,0,0,,99.99,98.99,92.00,1.00,97.81,50.00
2005675,2022-12-28,Celebration's Olun,Cats' Celebration Rainbow Cattery (#51829),0,100,55,male,Rainbow Lynx,7,23.5,-5.0,-5.5,1.5,0.0,-5.0,-3.5,2,0,0,1,0,7.0,11.5,13.5,15.0,straight,14.0,14.5,hazel,deep,short (bobtail),normal,shorthair,,cream,bicolor,spotted tabby,,False,False,False,True,False,0,0,,99.99,93.99,92.00,16.00,93.82,50.00
2005672,2022-12-28,Celebration's Takisis,Cats' Celebration Rainbow Cattery (#51829),0,100,55,male,Rainbow Lynx,7,23.5,-5.0,-5.5,1.5,0.0,-5.0,-3.5,2,0,0,1,0,7.0,11.5,13.5,15.0,straight,14.0,14.5,hazel,deep,short (bobtail),normal,shorthair,,fawn,bicolor,spotted tabby,,False,False,False,True,False,0,0,,99.99,95.99,92.00,8.00,93.82,50.00
2002703,2022-12-28,Celebration's Over the Clouds,Cats' Celebration Rainbow Cattery (#51829),0,100,67,male,Bastet Cat,7,23.5,3.5,-5.5,3.5,-1.5,-2.0,-4.5,3,0,0,0,0,15.5,11.5,15.5,13.5,straight,17.0,13.5,blue,medium,normal,normal,shorthair,,fawn,bicolor,,point,False,False,False,False,False,0,0,,99.99,94.05,78.60,77.06,91.77,50.00
2002701,2022-12-28,Celebration's Ido,Cats' Celebration Rainbow Cattery (#51829),0,100,67,male,Bastet Cat,7,23.5,3.5,-5.5,3.5,-1.5,-2.0,-4.5,3,0,0,0,0,15.5,11.5,15.5,13.5,straight,17.0,13.5,blue,medium,normal,normal,shorthair,,cinnamon,bicolor,,point,False,True,False,False,False,0,0,,99.99,90.07,81.99,70.08,92.38,50.00
2002711,2022-12-28,Celebration's Egypt Was Later,Cats' Celebration Rainbow Cattery (#51829),0,100,67,male,Bastet Cat,7,23.5,3.5,-6.0,2.5,-1.0,-2.0,-5.5,3,0,0,0,0,15.5,11.0,14.5,14.0,straight,17.0,12.5,blue,medium,normal,normal,shorthair,,cinnamon,van,,point,False,False,False,True,False,0,0,,99.99,93.99,71.00,81.00,87.97,50.00
2002702,2022-12-28,Celebration's Zabo,Cats' Celebration Rainbow Cattery (#51829),0,100,67,male,Bastet Cat,7,23.5,3.5,-5.5,3.5,-1.5,-2.0,-4.5,3,0,0,0,0,15.5,11.5,15.5,13.5,straight,17.0,13.5,blue,medium,normal,normal,shorthair,,cinnamon,harlequin,,point,False,False,False,False,True,0,0,,99.99,98.99,77.79,76.08,92.48,50.00
2002708,2022-12-28,Celebration's Egypt Came First,Cats' Celebration Rainbow Cattery (#51829),0,100,67,male,Bastet Cat,7,23.5,3.5,-6.0,2.5,-1.0,-2.0,-5.5,3,0,0,0,0,15.5,11.0,14.5,14.0,straight,17.0,12.5,blue,medium,normal,normal,shorthair,,fawn,harlequin,,point,False,False,False,False,False,0,0,,99.99,99.99,71.00,87.00,88.97,50.00
2004450,2022-12-28,#Evolution and Touch ,"Zoey @}-,-'-- Briar Rose (#49984)",0,150,59,male,Briar Rose,7,23.5,0.0,-3.5,1.0,-5.5,-6.5,-3.0,2,2,0,0,0,12.0,13.5,13.0,9.5,straight,12.5,15.0,bronze,deep,normal,normal,longhair,,chocolate,van,mackerel tabby,,False,True,True,False,False,0,0,,84.99,96.99,0.00,41.00,99.87,50.00
2004445,2022-12-28,#Amun Joshua of Heaven ,"Zoey @}-,-'-- Briar Rose (#49984)",0,150,59,male,Briar Rose,7,23.5,0.0,-3.5,1.0,-5.5,-6.5,-3.0,2,2,0,0,0,12.0,13.5,13.0,9.5,straight,12.5,15.0,grey-green/deep blue odd-eyed,deep,normal,normal,longhair,,red,van,mackerel tabby,,False,True,True,False,False,0,0,,84.99,99.99,0.00,41.00,99.87,50.00
2014469,2022-12-28,Fawn's Chosen Dawn of Fate,Fawn's Cattery of Mixies (#93143),0,200,15,male,mixed breed,7,23.5,3.5,-5.5,1.5,2.5,-3.0,-5.5,2,0,0,0,0,15.5,11.5,13.5,16.5,folded,16.0,12.5,yellow-green,deep,normal,normal,shorthair,satin,blue,bicolor,,,False,False,False,True,False,0,0,,99.99,99.99,99.99,56.00,90.88,50.00
2011325,2022-12-28,Fawn's White Ear,Fawn's Cattery of Mixies (#93143),0,200,29,male,Tierkreis,7,23.5,4.5,-6.0,0.5,1.5,-3.5,-5.5,2,0,0,0,0,16.5,11.0,12.5,16.5,straight,15.5,12.5,blue,deep,normal,normal,shorthair,,lilac,bicolor,,point,False,False,False,True,False,0,0,,99.99,99.99,99.99,47.00,74.74,50.00
2008531,2022-12-28,SJ [2] Forest Earring Yore,Nykkei GN's other account (#41511),900,0,43,male,Smoky Joe,7,23.5,-2.0,-3.0,0.0,-3.5,-5.5,-5.5,2,2,0,0,0,10.0,14.0,12.0,11.5,straight,13.5,12.5,blue,deep,normal,normal,longhair,,cinnamon,,,point,False,True,True,False,True,0,0,,94.99,92.56,0.00,0.00,99.65,50.00
2007200,2022-12-28,Nykkei's [6] Dorsal Hasp Vibrate,Nykkei GN's other account (#41511),900,0,49,male,Golden Doll,7,23.5,-2.5,-2.0,0.0,-4.0,-5.5,-5.5,2,2,0,0,0,9.5,15.0,12.0,11.0,straight,13.5,12.5,blue,deep,normal,normal,longhair,,fawn,mitted,,point,False,True,True,False,True,0,0,,94.99,93.12,0.00,0.00,99.90,50.00
2008624,2022-12-28,M*R Zway,Middie Rose  (#162652),0,20,42,male,mixed breed,8,23.5,-0.5,-7.0,1.5,-0.5,-6.0,-3.0,3,2,0,0,0,11.5,10.0,13.5,14.5,straight,13.0,15.0,yellow-green,pale,normal,normal,shorthair,wirehair,black,,ticked tabby,,False,False,False,True,False,0,0,,99.99,94.99,69.99,74.00,99.80,50.00
2006317,2022-12-28,M*R Gavin,Middie Rose @->-- (#162422),0,20,51,male,mixed breed,8,23.5,-2.5,-4.5,1.0,-2.5,-5.5,-2.5,3,2,0,0,0,9.5,12.5,13.0,12.5,straight,13.5,15.5,hazel,medium,normal,normal,longhair,,black,,classic tabby,,False,False,False,True,False,0,0,,99.99,99.99,85.99,0.00,99.89,50.00
2004049,2022-12-28,M*R Dominic,Middie Rose @->-- (#162422),0,20,62,male,mixed breed,8,23.5,-1.5,-4.5,2.0,-3.0,-5.5,-3.0,2,2,0,0,0,10.5,12.5,14.0,12.0,straight,13.5,15.0,bronze,deep,normal,normal,longhair,,black,bicolor,mackerel tabby,,False,False,False,True,False,0,0,,99.99,99.99,85.99,0.00,99.93,50.00
2002731,2022-12-28,M*R Austin,Middie Rose @->-- (#162422),0,20,67,male,mixed breed,8,23.5,-1.5,-3.5,-1.0,-2.5,-6.0,-4.0,3,2,0,0,0,10.5,13.5,11.0,13.5,curled,13.0,14.0,hazel,medium,normal,normal,shorthair,LaPerm,red,bicolor,mackerel tabby,,False,False,False,False,False,0,0,,99.99,99.99,92.99,17.20,80.35,50.00
